Xstreams,Threads,Time(s),Time(nanos),Status
1,1,19.00333333333333333333,19003408343.33333333333333333333,SUCCESSFUL
1,2,18.83666666666666666666,18837526083.00000000000000000000,SUCCESSFUL
1,3,18.92666666666666666666,18927708659.33333333333333333333,SUCCESSFUL
1,4,18.67000000000000000000,18671618138.33333333333333333333,SUCCESSFUL
1,5,18.81333333333333333333,18816287295.00000000000000000000,SUCCESSFUL
1,6,18.90333333333333333333,18904880223.33333333333333333333,SUCCESSFUL
1,7,18.89666666666666666666,18900876939.33333333333333333333,SUCCESSFUL
1,8,18.86000000000000000000,18858876428.00000000000000000000,SUCCESSFUL
1,16,18.68333333333333333333,18683152564.33333333333333333333,SUCCESSFUL
1,32,18.92000000000000000000,18923695960.33333333333333333333,SUCCESSFUL
1,64,18.83000000000000000000,18830104191.33333333333333333333,SUCCESSFUL
1,128,18.96333333333333333333,18964262528.33333333333333333333,SUCCESSFUL
1,256,18.96333333333333333333,18965192114.66666666666666666666,SUCCESSFUL
2,1,38.01333333333333333333,19006984156.66666666666666666666,SUCCESSFUL
2,2,19.42000000000000000000,9710407484.33333333333333333333,SUCCESSFUL
2,3,25.63333333333333333333,12817171316.66666666666666666666,SUCCESSFUL
2,4,19.59666666666666666666,9797952905.00000000000000000000,SUCCESSFUL
2,5,23.21333333333333333333,11606379963.00000000000000000000,SUCCESSFUL
2,6,19.51333333333333333333,9757618217.33333333333333333333,SUCCESSFUL
2,7,22.26666666666666666666,11134852664.33333333333333333333,SUCCESSFUL
2,8,19.67666666666666666666,9836957443.66666666666666666666,SUCCESSFUL
2,16,20.08666666666666666666,10044129585.66666666666666666666,SUCCESSFUL
2,32,20.91666666666666666666,10458508040.66666666666666666666,SUCCESSFUL
2,64,22.52666666666666666666,11263836116.33333333333333333333,SUCCESSFUL
2,128,25.79000000000000000000,12894969506.66666666666666666666,SUCCESSFUL
2,256,25.62000000000000000000,12812086780.00000000000000000000,SUCCESSFUL
3,1,57.05666666666666666666,19019513691.00000000000000000000,SUCCESSFUL
3,2,29.16333333333333333333,9721643021.00000000000000000000,SUCCESSFUL
3,3,19.97666666666666666666,6658811654.33333333333333333333,SUCCESSFUL
3,4,29.39666666666666666666,9799805740.33333333333333333333,SUCCESSFUL
3,5,23.79666666666666666666,7931795856.66666666666666666666,SUCCESSFUL
3,6,20.13666666666666666666,6712222197.33333333333333333333,SUCCESSFUL
3,7,25.52000000000000000000,8506719303.33333333333333333333,SUCCESSFUL
3,8,22.66666666666666666666,7556934413.33333333333333333333,SUCCESSFUL
3,16,23.50333333333333333333,7834541036.00000000000000000000,SUCCESSFUL
3,32,23.40333333333333333333,7801802161.66666666666666666666,SUCCESSFUL
3,64,26.41333333333333333333,8804171598.00000000000000000000,SUCCESSFUL
3,128,32.35666666666666666666,10786974198.33333333333333333333,SUCCESSFUL
3,256,32.60666666666666666666,10869577172.66666666666666666666,SUCCESSFUL
4,1,75.95666666666666666666,18990011384.66666666666666666666,SUCCESSFUL
4,2,39.14000000000000000000,9785549425.66666666666666666666,SUCCESSFUL
4,3,26.79000000000000000000,6697866280.33333333333333333333,SUCCESSFUL
4,4,20.72666666666666666666,5182253174.00000000000000000000,SUCCESSFUL
4,5,31.91666666666666666666,7979788450.33333333333333333333,SUCCESSFUL
4,6,27.12333333333333333333,6781720183.66666666666666666666,SUCCESSFUL
4,7,23.62333333333333333333,5906255204.33333333333333333333,SUCCESSFUL
4,8,21.28666666666666666666,5321728845.66666666666666666666,SUCCESSFUL
4,16,22.48000000000000000000,5620001029.00000000000000000000,SUCCESSFUL
4,32,24.93333333333333333333,6233790978.00000000000000000000,SUCCESSFUL
4,64,29.66333333333333333333,7415946872.00000000000000000000,SUCCESSFUL
4,128,38.87666666666666666666,9720390838.33333333333333333333,SUCCESSFUL
4,256,39.12000000000000000000,9780382088.66666666666666666666,SUCCESSFUL
5,1,98.87666666666666666666,19775995190.66666666666666666666,SUCCESSFUL
5,2,50.73333333333333333333,10147164691.66666666666666666666,SUCCESSFUL
5,3,34.53000000000000000000,6906628199.00000000000000000000,SUCCESSFUL
5,4,26.49333333333333333333,5299052997.66666666666666666666,SUCCESSFUL
5,5,24.64000000000000000000,4928919722.00000000000000000000,SUCCESSFUL
5,6,37.53666666666666666666,7507743067.33333333333333333333,SUCCESSFUL
5,7,32.07333333333333333333,6414898408.00000000000000000000,SUCCESSFUL
5,8,28.83000000000000000000,5766420816.00000000000000000000,SUCCESSFUL
5,16,30.90666666666666666666,6182446885.33333333333333333333,SUCCESSFUL
5,32,29.46666666666666666666,5893123464.66666666666666666666,SUCCESSFUL
5,64,34.56333333333333333333,6913380119.33333333333333333333,SUCCESSFUL
5,128,46.92000000000000000000,9384782156.00000000000000000000,SUCCESSFUL
5,256,49.47666666666666666666,9895959893.66666666666666666666,SUCCESSFUL
6,1,118.15000000000000000000,19693279375.00000000000000000000,SUCCESSFUL
6,2,60.66666666666666666666,10111453550.66666666666666666666,SUCCESSFUL
6,3,41.44666666666666666666,6908884854.66666666666666666666,SUCCESSFUL
6,4,33.23333333333333333333,5539167016.66666666666666666666,SUCCESSFUL
6,5,29.45333333333333333333,4909614334.33333333333333333333,SUCCESSFUL
6,6,25.47333333333333333333,4246642185.33333333333333333333,SUCCESSFUL
6,7,38.77000000000000000000,6462725494.66666666666666666666,SUCCESSFUL
6,8,34.36000000000000000000,5727828830.33333333333333333333,SUCCESSFUL
6,16,30.25333333333333333333,5043916838.66666666666666666666,SUCCESSFUL
6,32,33.49000000000000000000,5583137534.33333333333333333333,SUCCESSFUL
6,64,38.48333333333333333333,6414972394.33333333333333333333,SUCCESSFUL
6,128,54.40333333333333333333,9068399468.33333333333333333333,SUCCESSFUL
6,256,53.21333333333333333333,8869314623.33333333333333333333,SUCCESSFUL
7,1,138.48666666666666666666,19784829232.33333333333333333333,SUCCESSFUL
7,2,70.25333333333333333333,10038171164.66666666666666666666,SUCCESSFUL
7,3,50.27000000000000000000,7182935264.66666666666666666666,SUCCESSFUL
7,4,40.17000000000000000000,5738892474.33333333333333333333,SUCCESSFUL
7,5,34.28666666666666666666,4899653251.66666666666666666666,SUCCESSFUL
7,6,29.85333333333333333333,4265968426.00000000000000000000,SUCCESSFUL
7,7,26.27333333333333333333,3754837161.33333333333333333333,SUCCESSFUL
7,8,40.82666666666666666666,5834201537.33333333333333333333,SUCCESSFUL
7,16,34.99666666666666666666,5001129955.33333333333333333333,SUCCESSFUL
7,32,33.80666666666666666666,4831562546.66666666666666666666,SUCCESSFUL
7,64,45.32666666666666666666,6476674277.00000000000000000000,SUCCESSFUL
7,128,63.22666666666666666666,9034430413.33333333333333333333,SUCCESSFUL
7,256,61.05333333333333333333,8724109713.00000000000000000000,SUCCESSFUL
8,1,157.85333333333333333333,19752742253.00000000000000000000,SUCCESSFUL
8,2,80.09666666666666666666,10030371492.33333333333333333333,SUCCESSFUL
8,3,54.80333333333333333333,6865138852.66666666666666666666,SUCCESSFUL
8,4,44.01666666666666666666,5513951875.66666666666666666666,SUCCESSFUL
8,5,39.38000000000000000000,4933697149.00000000000000000000,SUCCESSFUL
8,6,34.32333333333333333333,4301633120.66666666666666666666,SUCCESSFUL
8,7,30.16666666666666666666,3781078436.66666666666666666666,SUCCESSFUL
8,8,27.81000000000000000000,3483522125.33333333333333333333,SUCCESSFUL
8,16,30.82666666666666666666,3865103743.33333333333333333333,SUCCESSFUL
8,32,36.54666666666666666666,4587141451.00000000000000000000,SUCCESSFUL
8,64,48.18000000000000000000,6046601656.33333333333333333333,SUCCESSFUL
8,128,69.45000000000000000000,8697178727.00000000000000000000,SUCCESSFUL
8,256,69.95333333333333333333,8763932041.33333333333333333333,SUCCESSFUL
16,1,316.23333333333333333333,39557585437.00000000000000000000,SUCCESSFUL
16,2,163.73333333333333333333,20485284428.66666666666666666666,SUCCESSFUL
16,3,115.04333333333333333333,14420460441.66666666666666666666,SUCCESSFUL
16,4,92.97000000000000000000,11652479977.33333333333333333333,SUCCESSFUL
16,5,78.74333333333333333333,9859893729.33333333333333333333,SUCCESSFUL
16,6,69.59000000000000000000,8713248050.33333333333333333333,SUCCESSFUL
16,7,65.04000000000000000000,8144022151.33333333333333333333,SUCCESSFUL
16,8,59.52333333333333333333,7460750513.00000000000000000000,SUCCESSFUL
16,16,44.83666666666666666666,5622094631.00000000000000000000,SUCCESSFUL
16,32,57.73000000000000000000,7229392939.00000000000000000000,SUCCESSFUL
16,64,81.36333333333333333333,10189120507.00000000000000000000,SUCCESSFUL
16,128,131.19333333333333333333,16417472843.00000000000000000000,SUCCESSFUL
16,256,131.98333333333333333333,16514578245.66666666666666666666,SUCCESSFUL
