Xstreams,Threads,Time(s),Time(nanos),Status
1,1,249.12333333333333333333,31.40000000000000000000,SUCCESSFUL
2,1,134.84000000000000000000,17.02333333333333333333,SUCCESSFUL
3,1,103.23000000000000000000,13.01666666666666666666,SUCCESSFUL
4,1,85.20666666666666666666,10.78000000000000000000,SUCCESSFUL
5,1,80.66333333333333333333,10.19333333333333333333,SUCCESSFUL
6,1,61.86666666666666666666,7.81666666666666666666,SUCCESSFUL
7,1,62.09666666666666666666,7.90000000000000000000,SUCCESSFUL
8,1,60.90666666666666666666,7.73000000000000000000,SUCCESSFUL
