Xstreams,Threads,Time(s),Time(nanos),Status
1,1,22.21000000000000000000,22.21000000000000000000,SUCCESSFUL
2,1,23.25666666666666666666,11.62666666666666666666,SUCCESSFUL
3,1,24.92333333333333333333,8.31000000000000000000,SUCCESSFUL
4,1,25.99333333333333333333,6.50000000000000000000,SUCCESSFUL
5,1,36.36000000000000000000,8.82666666666666666666,SUCCESSFUL
6,1,41.52000000000000000000,7.53333333333333333333,SUCCESSFUL
7,1,45.11666666666666666666,7.43333333333333333333,SUCCESSFUL
8,1,46.55000000000000000000,6.50333333333333333333,SUCCESSFUL
16,1,45.87333333333333333333,6.23000000000000000000,SUCCESSFUL
